t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
19000,83,0,0,0,0,M,s,0,0
19020,79,0,0,0,0,M,s,0,0
19040,76,0,0,0,0,M,s,0,0
19060,84,0,0,0,0,M,s,0,0
19080,76,0,0,0,0,M,s,0,0
19100,83,0,0,0,0,M,s,0,0
19120,79,0,0,0,0,M,s,0,0
19140,76,0,0,0,0,M,s,0,0
19160,83,0,0,0,0,M,s,0,0
19180,76,0,0,0,0,M,s,0,0
19200,84,0,0,0,0,M,s,0,0
19220,79,0,0,0,0,M,s,0,0
19240,77,0,0,0,0,M,s,0,0
19260,83,0,0,0,0,M,s,0,0
19280,76,0,0,0,0,M,s,0,0
19300,84,0,0,0,0,M,s,0,0
19320,78,0,0,0,0,M,s,0,0
19340,78,0,0,0,0,M,s,0,0
19360,82,0,0,0,0,M,s,0,0
19380,76,0,0,0,0,M,s,0,0
19400,84,0,0,0,0,M,s,0,0
19420,78,0,0,0,0,M,s,0,0
19440,78,0,0,0,0,M,s,0,0
19460,82,0,0,0,0,M,s,0,0
19480,75,0,0,0,0,M,s,0,0
19500,85,0,0,0,0,M,s,0,0
19520,78,0,0,0,0,M,s,0,0
19540,78,0,0,0,0,M,s,0,0
19560,82,0,0,0,0,M,s,0,0
19580,75,0,0,0,0,M,s,0,0
19600,85,0,0,0,0,M,s,0,0
19620,78,0,0,0,0,M,s,0,0
19640,79,0,0,0,0,M,s,0,0
19660,81,0,0,0,0,M,s,0,0
19680,75,0,0,0,0,M,s,0,0
19700,86,0,0,0,0,M,s,0,0
19720,77,0,0,0,0,M,s,0,0
19740,79,0,0,0,0,M,s,0,0
19760,81,0,0,0,0,M,s,0,0
19780,75,0,0,0,0,M,s,0,0
19800,86,0,0,0,0,M,s,0,0
19820,77,0,0,0,0,M,s,0,0
19840,80,0,0,0,0,M,s,0,0
19860,81,0,0,0,0,M,s,0,0
19880,75,0,0,0,0,M,s,0,0
19900,86,0,0,0,0,M,s,0,0
19920,77,0,0,0,0,M,s,0,0
19940,80,0,0,0,0,M,s,0,0
19960,80,0,0,0,0,M,s,0,0
19980,74,0,0,0,0,M,s,0,0
20000,85,0,0,0,0,M,s,0,0
20020,77,0,0,0,0,M,s,0,0
20040,81,0,0,0,0,M,s,0,0
20060,80,0,0,0,0,M,s,0,0
20080,74,0,0,0,0,M,s,0,0
20100,85,0,0,0,0,M,s,0,0
20120,77,0,0,0,0,M,s,0,0
20140,81,0,0,0,0,M,s,0,0
20160,80,0,0,0,0,M,s,0,0
20180,75,0,0,0,0,M,s,0,0
20200,85,0,0,0,0,M,s,0,0
20220,76,0,0,0,0,M,s,0,0
20240,82,0,0,0,0,M,s,0,0
20260,80,0,0,0,0,M,s,0,0
20280,75,0,0,0,0,M,s,0,0
20300,84,0,0,0,0,M,s,0,0
20320,76,0,0,0,0,M,s,0,0
20340,82,0,0,0,0,M,s,0,0
20360,79,0,0,0,0,M,s,0,0
20380,75,0,0,0,0,M,s,0,0
20400,84,0,0,0,0,M,s,0,0
20420,76,0,0,0,0,M,s,0,0
20440,83,0,0,0,0,M,s,0,0
20460,79,0,0,0,0,M,s,0,0
20480,76,0,0,0,0,M,s,0,0
20500,84,0,0,0,0,M,s,0,0
20520,76,0,0,0,0,M,s,0,0
20540,83,0,0,0,0,M,s,0,0
20560,79,0,0,0,0,M,s,0,0
20580,76,0,0,0,0,M,s,0,0
20600,84,0,0,0,0,M,s,0,0
20620,76,0,0,0,0,M,s,0,0
20640,84,0,0,0,0,M,s,0,0
20660,79,0,0,0,0,M,s,0,0
20680,77,0,0,0,0,M,s,0,0
20700,83,0,0,0,0,M,s,0,0
20720,76,0,0,0,0,M,s,0,0
20740,84,0,0,0,0,M,s,0,0
20760,79,0,0,0,0,M,s,0,0
20780,77,0,0,0,0,M,s,0,0
20800,82,0,0,0,0,M,s,0,0
20820,76,0,0,0,0,M,s,0,0
20840,85,0,0,0,0,M,s,0,0
20860,78,0,0,0,0,M,s,0,0
20880,78,0,0,0,0,M,s,0,0
20900,82,0,0,0,0,M,s,0,0
20920,76,0,0,0,0,M,s,0,0
20940,85,0,0,0,0,M,s,0,0
20960,78,0,0,0,0,M,s,0,0
20980,79,0,0,0,0,M,s,0,0
21000,82,0,0,0,0,M,s,0,0
21020,75,0,0,0,0,M,s,0,0
21040,86,0,0,0,0,M,s,0,0
21060,78,0,0,0,0,M,s,0,0
21080,79,0,0,0,0,M,s,0,0
21100,82,0,0,0,0,M,s,0,0
21120,75,0,0,0,0,M,s,0,0
21140,86,0,0,0,0,M,s,0,0
21160,78,0,0,0,0,M,s,0,0
21180,79,0,0,0,0,M,s,0,0
21200,81,0,0,0,0,M,s,0,0
21220,75,0,0,0,0,M,s,0,0
21240,86,0,0,0,0,M,s,0,0
21260,77,0,0,0,0,M,s,0,0
21280,80,0,0,0,0,M,s,0,0
21300,81,0,0,0,0,M,s,0,0
21320,75,0,0,0,0,M,s,0,0
21340,86,0,0,0,0,M,s,0,0
21360,77,0,0,0,0,M,s,0,0
21380,81,0,0,0,0,M,s,0,0
21400,81,0,0,0,0,M,s,0,0
21420,75,0,0,0,0,M,s,0,0
21440,86,0,0,0,0,M,s,0,0
21460,77,0,0,0,0,M,s,0,0
21480,81,0,0,0,0,M,s,0,0
21500,80,0,0,0,0,M,s,0,0
21520,75,0,0,0,0,M,s,0,0
21540,85,0,0,0,0,M,s,0,0
21560,77,0,0,0,0,M,s,0,0
21580,81,0,0,0,0,M,s,0,0
21600,80,0,0,0,0,M,s,0,0
21620,75,0,0,0,0,M,s,0,0
21640,85,0,0,0,0,M,s,0,0
21660,77,0,0,0,0,M,s,0,0
21680,82,0,0,0,0,M,s,0,0
21700,80,0,0,0,0,M,s,0,0
21720,75,0,0,0,0,M,s,0,0
21740,85,0,0,0,0,M,s,0,0
21760,77,0,0,0,0,M,s,0,0
21780,82,0,0,0,0,M,s,0,0
21800,80,0,0,0,0,M,s,0,0
21820,75,0,0,0,0,M,s,0,0
21840,84,0,0,0,0,M,s,0,0
21860,77,0,0,0,0,M,s,0,0
21880,83,0,0,0,0,M,s,0,0
21900,80,0,0,0,0,M,s,0,0
21920,76,0,0,0,0,M,s,0,0
21940,84,0,0,0,0,M,s,0,0
21960,76,0,0,0,0,M,s,0,0
21980,83,0,0,0,0,M,s,0,0
22000,79,0,0,0,0,M,s,0,0
22020,76,0,0,0,0,M,s,0,0
22040,84,0,0,0,0,M,s,0,0
22060,76,0,0,0,0,M,s,0,0
22080,84,0,0,0,0,M,s,0,0
22100,79,0,0,0,0,M,s,0,0
22120,77,0,0,0,0,M,s,0,0
22140,83,0,0,0,0,M,s,0,0
22160,76,0,0,0,0,M,s,0,0
22180,84,0,0,0,0,M,s,0,0
22200,79,0,0,0,0,M,s,0,0
22220,77,0,0,0,0,M,s,0,0
22240,82,0,0,0,0,M,s,0,0
22260,76,0,0,0,0,M,s,0,0
22280,84,0,0,0,0,M,s,0,0
22300,78,0,0,0,0,M,s,0,0
22320,78,0,0,0,0,M,s,0,0
22340,82,0,0,0,0,M,s,0,0
22360,76,0,0,0,0,M,s,0,0
22380,85,0,0,0,0,M,s,0,0
22400,78,0,0,0,0,M,s,0,0
22420,79,0,0,0,0,M,s,0,0
22440,82,0,0,0,0,M,s,0,0
22460,76,0,0,0,0,M,s,0,0
22480,86,0,0,0,0,M,s,0,0
22500,78,0,0,0,0,M,s,0,0
22520,79,0,0,0,0,M,s,0,0
22540,82,0,0,0,0,M,s,0,0
22560,75,0,0,0,0,M,s,0,0
22580,86,0,0,0,0,M,s,0,0
22600,78,0,0,0,0,M,s,0,0
22620,80,0,0,0,0,M,s,0,0
22640,82,0,0,0,0,M,s,0,0
22660,75,0,0,0,0,M,s,0,0
22680,86,0,0,0,0,M,s,0,0
22700,78,0,0,0,0,M,s,0,0
22720,80,0,0,0,0,M,s,0,0
22740,81,0,0,0,0,M,s,0,0
22760,75,0,0,0,0,M,s,0,0
22780,86,0,0,0,0,M,s,0,0
22800,77,0,0,0,0,M,s,0,0
22820,81,0,0,0,0,M,s,0,0
22840,81,0,0,0,0,M,s,0,0
22860,75,0,0,0,0,M,s,0,0
22880,86,0,0,0,0,M,s,0,0
22900,77,0,0,0,0,M,s,0,0
22920,81,0,0,0,0,M,s,0,0
22940,81,0,0,0,0,M,s,0,0
22960,75,0,0,0,0,M,s,0,0
22980,86,0,0,0,0,M,s,0,0
23000,77,0,0,0,0,M,s,0,0
23020,82,0,0,0,0,M,s,0,0
23040,80,0,0,0,0,M,s,0,0
23060,75,0,0,0,0,M,s,0,0
23080,85,0,0,0,0,M,s,0,0
23100,77,0,0,0,0,M,s,0,0
23120,82,0,0,0,0,M,s,0,0
23140,80,0,0,0,0,M,s,0,0
23160,75,0,0,0,0,M,s,0,0
23180,85,0,0,0,0,M,s,0,0
23200,77,0,0,0,0,M,s,0,0
23220,83,0,0,0,0,M,s,0,0
23240,80,0,0,0,0,M,s,0,0
23260,76,0,0,0,0,M,s,0,0
23280,84,0,0,0,0,M,s,0,0
23300,77,0,0,0,0,M,s,0,0
23320,83,0,0,0,0,M,s,0,0
23340,79,0,0,0,0,M,s,0,0
23360,76,0,0,0,0,M,s,0,0
23380,84,0,0,0,0,M,s,0,0
23400,76,0,0,0,0,M,s,0,0
23420,83,0,0,0,0,M,s,0,0
23440,79,0,0,0,0,M,s,0,0
23460,76,0,0,0,0,M,s,0,0
23480,84,0,0,0,0,M,s,0,0
23500,76,0,0,0,0,M,s,0,0
23520,84,0,0,0,0,M,s,0,0
23540,79,0,0,0,0,M,s,0,0
23560,77,0,0,0,0,M,s,0,0
23580,83,0,0,0,0,M,s,0,0
23600,76,0,0,0,0,M,s,0,0
23620,84,0,0,0,0,M,s,0,0
23640,79,0,0,0,0,M,s,0,0
23660,77,0,0,0,0,M,s,0,0
23680,83,0,0,0,0,M,s,0,0
23700,76,0,0,0,0,M,s,0,0
23720,84,0,0,0,0,M,s,0,0
23740,79,0,0,0,0,M,s,0,0
23760,78,0,0,0,0,M,s,0,0
23780,82,0,0,0,0,M,s,0,0
23800,76,0,0,0,0,M,s,0,0
23820,85,0,0,0,0,M,s,0,0
23840,78,0,0,0,0,M,s,0,0
23860,78,0,0,0,0,M,s,0,0
23880,82,0,0,0,0,M,s,0,0
23900,75,0,0,0,0,M,s,0,0
23920,85,0,0,0,0,M,s,0,0
23940,78,0,0,0,0,M,s,0,0
23960,79,0,0,0,0,M,s,0,0
23980,82,0,0,0,0,M,s,0,0
24000,75,0,0,0,0,M,s,0,0
24020,86,0,0,0,0,M,s,0,0
24040,78,0,0,0,0,M,s,0,0
24060,80,0,0,0,0,M,s,0,0
24080,82,0,0,0,0,M,s,0,0
24100,75,0,0,0,0,M,s,0,0
24120,86,0,0,0,0,M,s,0,0
24140,78,0,0,0,0,M,s,0,0
24160,80,0,0,0,0,M,s,0,0
24180,81,0,0,0,0,M,s,0,0
24200,75,0,0,0,0,M,s,0,0
24220,86,0,0,0,0,M,s,0,0
24240,77,0,0,0,0,M,s,0,0
24260,81,0,0,0,0,M,s,0,0
24280,81,0,0,0,0,M,s,0,0
24300,75,0,0,0,0,M,s,0,0
24320,86,0,0,0,0,M,s,0,0
24340,77,0,0,0,0,M,s,0,0
24360,81,0,0,0,0,M,s,0,0
24380,80,0,0,0,0,M,s,0,0
24400,75,0,0,0,0,M,s,0,0
24420,85,0,0,0,0,M,s,0,0
24440,77,0,0,0,0,M,s,0,0
24460,82,0,0,0,0,M,s,0,0
24480,80,0,0,0,0,M,s,0,0
24500,75,0,0,0,0,M,s,0,0
24520,85,0,0,0,0,M,s,0,0
24540,77,0,0,0,0,M,s,0,0
24560,82,0,0,0,0,M,s,0,0
24580,80,0,0,0,0,M,s,0,0
24600,75,0,0,0,0,M,s,0,0
24620,84,0,0,0,0,M,s,0,0
24640,77,0,0,0,0,M,s,0,0
24660,83,0,0,0,0,M,s,0,0
24680,80,0,0,0,0,M,s,0,0
24700,76,0,0,0,0,M,s,0,0
24720,84,0,0,0,0,M,s,0,0
24740,76,0,0,0,0,M,s,0,0
24760,83,0,0,0,0,M,s,0,0
24780,79,0,0,0,0,M,s,0,0
24800,76,0,0,0,0,M,s,0,0
24820,84,0,0,0,0,M,s,0,0
24840,76,0,0,0,0,M,s,0,0
24860,84,0,0,0,0,M,s,0,0
24880,79,0,0,0,0,M,s,0,0
24900,77,0,0,0,0,M,s,0,0
24920,83,0,0,0,0,M,s,0,0
24940,76,0,0,0,0,M,s,0,0
24960,84,0,0,0,0,M,s,0,0
24980,79,0,0,0,0,M,s,0,0
25000,77,0,0,0,0,M,s,0,0
25020,83,0,0,0,0,M,s,0,0
25040,76,0,0,0,0,M,s,0,0
25060,84,0,0,0,0,M,s,0,0
25080,79,0,0,0,0,M,s,0,0
25100,78,0,0,0,0,M,s,0,0
25120,83,0,0,0,0,M,s,0,0
25140,76,0,0,0,0,M,s,0,0
25160,85,0,0,0,0,M,s,0,0
25180,78,0,0,0,0,M,s,0,0
25200,79,0,0,0,0,M,s,0,0
25220,82,0,0,0,0,M,s,0,0
25240,76,0,0,0,0,M,s,0,0
25260,86,0,0,0,0,M,s,0,0
25280,78,0,0,0,0,M,s,0,0
25300,79,0,0,0,0,M,s,0,0
25320,82,0,0,0,0,M,s,0,0
25340,75,0,0,0,0,M,s,0,0
25360,86,0,0,0,0,M,s,0,0
25380,78,0,0,0,0,M,s,0,0
25400,80,0,0,0,0,M,s,0,0
25420,81,0,0,0,0,M,s,0,0
25440,75,0,0,0,0,M,s,0,0
25460,86,0,0,0,0,M,s,0,0
25480,78,0,0,0,0,M,s,0,0
25500,80,0,0,0,0,M,s,0,0
25520,81,0,0,0,0,M,s,0,0
25540,75,0,0,0,0,M,s,0,0
25560,86,0,0,0,0,M,s,0,0
25580,78,0,0,0,0,M,s,0,0
25600,81,0,0,0,0,M,s,0,0
25620,81,0,0,0,0,M,s,0,0
25640,75,0,0,0,0,M,s,0,0
25660,86,0,0,0,0,M,s,0,0
25680,77,0,0,0,0,M,s,0,0
25700,81,0,0,0,0,M,s,0,0
25720,80,0,0,0,0,M,s,0,0
25740,75,0,0,0,0,M,s,0,0
25760,85,0,0,0,0,M,s,0,0
25780,77,0,0,0,0,M,s,0,0
25800,82,0,0,0,0,M,s,0,0
25820,80,0,0,0,0,M,s,0,0
25840,75,0,0,0,0,M,s,0,0
25860,85,0,0,0,0,M,s,0,0
25880,77,0,0,0,0,M,s,0,0
25900,83,0,0,0,0,M,s,0,0
25920,80,0,0,0,0,M,s,0,0
25940,76,0,0,0,0,M,s,0,0
25960,85,0,0,0,0,M,s,0,0
25980,77,0,0,0,0,M,s,0,0
26000,83,0,0,0,0,M,s,0,0
26020,80,0,0,0,0,M,s,0,0
26040,76,0,0,0,0,M,s,0,0
26060,84,0,0,0,0,M,s,0,0
26080,77,0,0,0,0,M,s,0,0
26100,84,0,0,0,0,M,s,0,0
26120,80,0,0,0,0,M,s,0,0
26140,77,0,0,0,0,M,s,0,0
26160,84,0,0,0,0,M,s,0,0
26180,76,0,0,0,0,M,s,0,0
26200,84,0,0,0,0,M,s,0,0
26220,79,0,0,0,0,M,s,0,0
26240,77,0,0,0,0,M,s,0,0
