t_ms,photo,leftTicks,rightTicks,dLeft,dRight,mode,cmd,leftPWM,rightPWM
196000,215,560,225,0,0,M,x,0,0
197000,216,560,225,0,0,M,m,0,0
198000,217,560,225,0,0,M,m,0,0
199000,218,565,226,5,1,M,x,0,0
200000,219,565,226,0,0,M,x,0,0
201000,216,565,226,0,0,M,x,0,0
202000,214,584,244,19,18,M,x,0,0
203000,216,602,258,18,14,M,w,100,70
204000,222,618,274,16,16,M,x,0,0
205000,217,618,274,0,0,M,x,0,0
206000,222,618,274,0,0,M,x,0,0
207000,217,642,295,24,21,M,x,0,0
208000,217,647,299,5,4,M,x,0,0
209000,221,647,299,0,0,M,x,0,0
210000,222,647,299,0,0,M,x,0,0
211000,225,647,299,0,0,M,x,0,0
212000,220,647,299,0,0,M,x,0,0
213000,221,647,299,0,0,M,x,0,0
214000,220,647,299,0,0,M,x,0,0
